Starting pygame as no macOS has been detected
pygame 2.6.1 (SDL 2.28.4, Python 3.12.3)
Hello from the pygame community. https://www.pygame.org/contribute.html
         5112270 function calls (4771430 primitive calls) in 7.599 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1774    0.365    0.000    0.365    0.000 {built-in method marshal.loads}
        5    0.340    0.068    0.341    0.068 {built-in method pygame.base.init}
  223/217    0.302    0.001    0.315    0.001 {built-in method _imp.create_dynamic}
   2730/1    0.187    0.000    7.617    7.617 {built-in method builtins.exec}
481073/478006    0.147    0.000    0.176    0.000 {built-in method builtins.isinstance}
     1774    0.126    0.000    0.496    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
4948/4755    0.122    0.000    2.999    0.001 {built-in method builtins.__build_class__}
     7357    0.110    0.000    0.204    0.000 inspect.py:875(cleandoc)
   353482    0.102    0.000    0.102    0.000 {method 'startswith' of 'str' objects}
213755/213666    0.092    0.000    0.116    0.000 {built-in method builtins.getattr}
 6142/585    0.092    0.000    0.246    0.000 _parser.py:512(_parse)
     2057    0.083    0.000    0.093    0.000 functools.py:35(update_wrapper)
     8368    0.079    0.000    0.080    0.000 {built-in method posix.stat}
48906/1521    0.075    0.000    0.346    0.000 _core_utils.py:199(_walk)
      172    0.075    0.000    0.075    0.000 {built-in method pydantic_core._pydantic_core.validate_core_schema}
   294579    0.071    0.000    0.071    0.000 {method 'append' of 'list' objects}
41041/2771    0.067    0.000    0.079    0.000 flexparser.py:107(_specialization)
344370/335067    0.064    0.000    0.068    0.000 {built-in method builtins.len}
   215365    0.062    0.000    0.062    0.000 {method 'get' of 'dict' objects}
  223/186    0.059    0.000    0.164    0.001 {built-in method _imp.exec_dynamic}
     1774    0.058    0.000    0.058    0.000 {built-in method _io.open_code}
49081/1521    0.058    0.000    0.354    0.000 _core_utils.py:196(walk)
    11047    0.057    0.000    0.058    0.000 {method 'sub' of 're.Pattern' objects}
    18278    0.057    0.000    0.098    0.000 cell.py:74(_get_column_letter)
     2689    0.054    0.000    0.156    0.000 inspect.py:2366(_signature_from_function)
     1111    0.051    0.000    0.102    0.000 _generate_schema.py:1765(_get_prepare_pydantic_annotations_for_known_type)
        1    0.050    0.050    0.050    0.050 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 8171/552    0.050    0.000    0.126    0.000 _compiler.py:37(_compile)
17074/16467    0.050    0.000    0.066    0.000 {built-in method __new__ of type object at 0xa44b40}
4194/2749    0.050    0.000    0.268    0.000 inspect.py:2470(_signature_from_callable)
65998/65919    0.050    0.000    0.058    0.000 {method 'join' of 'str' objects}
      413    0.049    0.000    0.140    0.000 doccer.py:13(docformat)
    13937    0.046    0.000    0.083    0.000 inspect.py:2712(__init__)
      638    0.045    0.000    0.635    0.001 _generate_schema.py:1040(_common_field_schema)
     1829    0.045    0.000    0.045    0.000 {method 'read' of '_io.BufferedReader' objects}
     3621    0.045    0.000    0.078    0.000 <frozen importlib._bootstrap>:162(__enter__)
4376/1910    0.043    0.000    0.318    0.000 _core_utils.py:323(handle_model_fields_schema)
     2475    0.041    0.000    0.087    0.000 registry.py:1130(_yield_unit_triplets)
     2787    0.041    0.000    0.184    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      223    0.040    0.000    0.129    0.001 artist.py:1442(get_aliases)
      607    0.039    0.000    0.039    0.000 {built-in method builtins.dir}
    11629    0.037    0.000    0.037    0.000 {method 'search' of 're.Pattern' objects}
44601/42063    0.036    0.000    0.331    0.000 {built-in method builtins.hasattr}
    96117    0.036    0.000    0.036    0.000 {built-in method builtins.min}
     4865    0.033    0.000    0.045    0.000 inspect.py:2998(__init__)
    67598    0.033    0.000    0.033    0.000 {method 'copy' of 'dict' objects}
     1626    0.032    0.000    0.043    0.000 _compiler.py:243(_optimize_charset)
42453/2082    0.032    0.000    0.338    0.000 _core_utils.py:206(_handle_other_schemas)
   111684    0.031    0.000    0.031    0.000 {method 'lstrip' of 'str' objects}
     2111    0.031    0.000    0.281    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     2032    0.030    0.000    0.030    0.000 {method 'findall' of 're.Pattern' objects}
  4858/24    0.029    0.000    7.616    0.317 <frozen importlib._bootstrap>:1349(_find_and_load)
     3621    0.029    0.000    0.122    0.000 <frozen importlib._bootstrap>:304(acquire)
    27176    0.029    0.000    0.048    0.000 typing.py:2310(get_origin)
      223    0.027    0.000    0.087    0.000 artist.py:1517(get_setters)
    15125    0.026    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
2697/2694    0.024    0.000    0.210    0.000 __init__.py:383(__getattr__)
     2086    0.024    0.000    0.059    0.000 _core_utils.py:77(get_type_ref)
    48030    0.024    0.000    0.037    0.000 _parser.py:168(__getitem__)
     1018    0.023    0.000    0.023    0.000 {built-in method builtins.compile}
     1774    0.022    0.000    0.711    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
      172    0.022    0.000    0.047    0.000 _schema_validator.py:20(create_schema_validator)
 1689/638    0.022    0.000    0.073    0.000 _generics.py:338(has_instance_in_type)
 9622/172    0.022    0.000    0.092    0.001 _core_utils.py:423(collect_refs)
     9590    0.022    0.000    0.465    0.000 __init__.py:280(_compile)
    16525    0.022    0.000    0.022    0.000 {method 'expandtabs' of 'str' objects}
      234    0.022    0.000    0.027    0.000 {built-in method builtins.eval}
    37067    0.021    0.000    0.033    0.000 _parser.py:261(get)
     4252    0.021    0.000    0.270    0.000 artist.py:1470(get_valid_values)
     4124    0.021    0.000    0.049    0.000 util.py:452(__init__)
      421    0.021    0.000    0.039    0.000 doccer.py:180(indentcount_lines)
     3548    0.021    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
 9068/462    0.020    0.000    0.043    0.000 copy.py:118(deepcopy)
18331/9462    0.019    0.000    0.041    0.000 flexparser.py:369(_yield_types)
      136    0.019    0.000    0.319    0.002 main.py:122(__new__)
    15182    0.019    0.000    0.031    0.000 enum.py:726(__call__)
      449    0.019    0.000    0.019    0.000 {built-in method posix.listdir}
    15308    0.018    0.000    0.018    0.000 {method 'split' of 'str' objects}
  2133/24    0.018    0.000    7.615    0.317 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
8651/1302    0.018    0.000    0.028    0.000 _parser.py:178(getwidth)
 2371/552    0.018    0.000    0.250    0.000 _parser.py:452(_parse_sub)
    52401    0.018    0.000    0.018    0.000 {method 'items' of 'dict' objects}
     9264    0.018    0.000    0.018    0.000 {method 'splitlines' of 'str' objects}
      172    0.017    0.000    1.286    0.007 _model_construction.py:492(complete_model_class)
        2    0.016    0.008    0.178    0.089 cell.py:1(<module>)
    50210    0.016    0.000    0.016    0.000 _parser.py:240(__next)
     3621    0.016    0.000    0.023    0.000 <frozen importlib._bootstrap>:372(release)
 4484/453    0.016    0.000    0.036    0.000 registry.py:745(_get_dimensionality_recurse)
      240    0.015    0.000   20.329    0.085 __init__.py:1(<module>)
     3621    0.015    0.000    0.031    0.000 <frozen importlib._bootstrap>:124(setdefault)
     3621    0.015    0.000    0.024    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     1731    0.015    0.000    0.134    0.000 _generate_schema.py:623(_generate_schema_from_property)
 1167/172    0.015    0.000    0.688    0.004 _generate_schema.py:735(_generate_schema_inner)
     3267    0.015    0.000    0.052    0.000 typing.py:175(_type_check)
     9174    0.015    0.000    0.028    0.000 typing.py:1188(__setattr__)
      181    0.014    0.000    0.037    0.000 __init__.py:355(namedtuple)
    21435    0.014    0.000    0.014    0.000 {method 'rpartition' of 'str' objects}
    30251    0.014    0.000    0.016    0.000 {built-in method builtins.setattr}
     4660    0.014    0.000    0.021    0.000 tokenize.py:569(_generate_tokens_from_c_tokenizer)
  651/638    0.014    0.000    0.373    0.001 _generate_schema.py:1784(_apply_annotations)
     1969    0.014    0.000    0.097    0.000 textwrap.py:419(dedent)
     1841    0.014    0.000    0.014    0.000 {method '__exit__' of '_io._IOBase' objects}
    31235    0.013    0.000    0.013    0.000 {method 'endswith' of 'str' objects}
 2780/425    0.013    0.000    0.037    0.000 registry.py:950(_get_root_units_recurse)
2740/2738    0.013    0.000    0.305    0.000 __init__.py:73(import_module)
    14795    0.013    0.000    0.024    0.000 typing.py:1134(_is_dunder)
     2771    0.013    0.000    0.021    0.000 flexparser.py:94(_summarize)
  526/172    0.012    0.000    0.032    0.000 _decorators.py:413(build)
     2030    0.012    0.000    0.067    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
  2030/26    0.012    0.000    7.610    0.293 <frozen importlib._bootstrap>:911(_load_unlocked)
  4864/50    0.012    0.000    7.577    0.152 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.012    0.012    0.227    0.227 registry.py:605(_build_cache)
    40722    0.012    0.000    0.012    0.000 {method 'rstrip' of 'str' objects}
5864/1026    0.012    0.000    5.287    0.005 <frozen importlib._bootstrap>:1390(_handle_fromlist)
 8613/172    0.012    0.000    0.064    0.000 _core_utils.py:125(_record_valid_refs)
  994/591    0.012    0.000    0.179    0.000 _generate_schema.py:760(match_type)
5648/5645    0.012    0.000    0.023    0.000 typing.py:1178(__getattr__)
      172    0.011    0.000    0.107    0.001 _fields.py:99(collect_model_fields)
 8613/172    0.011    0.000    0.065    0.000 _discriminated_union.py:45(inner)
